model,scenario,region,variable,item,unit,year,value
aglink,baseline,ame,expo,ric,1000 t,2010,340.14185
aglink,baseline,ame,expo,ric,1000 t,2020,543.30018
aglink,baseline,ame,expo,ric,1000 t,2030,253.7179254
aglink,baseline,ame,expo,ric,1000 t,2040,193.3094453
aglink,baseline,ame,expo,rum,1000 t,2000,358.812723
aglink,baseline,ame,expo,rum,1000 t,2010,575.592406
aglink,baseline,ame,expo,rum,1000 t,2020,581.7219872
aglink,baseline,ame,expo,rum,1000 t,2030,632.3646904
aglink,baseline,ame,expo,rum,1000 t,2040,720.1453742
aglink,baseline,ame,expo,vfn,1000 t,2000,495.8982037
aglink,baseline,ame,expo,vfn,1000 t,2010,1562.12852
aglink,baseline,ame,expo,vfn,1000 t,2020,3252.047103
aglink,baseline,ame,expo,vfn,1000 t,2030,2518.059243
aglink,baseline,ame,expo,vfn,1000 t,2040,3805.508207
aglink,baseline,ame,expo,wht,1000 t,2000,3169.904035
aglink,baseline,ame,expo,wht,1000 t,2010,4597.336059
aglink,baseline,ame,expo,wht,1000 t,2020,6049.00068
aglink,baseline,ame,expo,wht,1000 t,2030,5875.329515
aglink,baseline,ame,expo,wht,1000 t,2040,5685.490012
aglink,baseline,ame,feed,cgr,1000 t,2000,44435.3893
aglink,baseline,ame,feed,cgr,1000 t,2010,69418.65215
aglink,baseline,ame,feed,cgr,1000 t,2020,98331.06957
aglink,baseline,ame,feed,cgr,1000 t,2030,110210.6084
aglink,baseline,ame,feed,cgr,1000 t,2040,133067.611
aglink,baseline,ame,feed,ric,1000 t,2000,73.00585
aglink,baseline,ame,feed,ric,1000 t,2010,104.00576
aglink,baseline,ame,feed,ric,1000 t,2020,51.00594
aglink,baseline,ame,feed,ric,1000 t,2030,17.29834665
aglink,baseline,ame,feed,ric,1000 t,2040,20.48397229
aglink,baseline,ame,feed,vfn,1000 t,2000,8995.599413
aglink,baseline,ame,feed,vfn,1000 t,2010,17360.70778
aglink,baseline,ame,feed,vfn,1000 t,2020,23498.86619
aglink,baseline,ame,feed,vfn,1000 t,2030,27585.57512
aglink,baseline,ame,feed,vfn,1000 t,2040,33005.22585
aglink,baseline,ame,feed,wht,1000 t,2000,5611.004244
aglink,baseline,ame,feed,wht,1000 t,2010,7525.026356
aglink,baseline,ame,feed,wht,1000 t,2020,10939.68999
aglink,baseline,ame,feed,wht,1000 t,2030,10465.9057
aglink,baseline,ame,feed,wht,1000 t,2040,12367.50337
aglink,baseline,ame,food,cgr,1000 t,2000,61152.4176
aglink,baseline,ame,food,cgr,1000 t,2010,77214.0865
aglink,baseline,ame,food,cgr,1000 t,2020,98530.69672
aglink,baseline,ame,food,cgr,1000 t,2030,130181.5925
aglink,baseline,ame,food,cgr,1000 t,2040,148752.6798
aglink,baseline,ame,food,nrm,1000 t,2000,7850.756601
aglink,baseline,ame,food,nrm,1000 t,2010,12370.93172
aglink,baseline,ame,food,nrm,1000 t,2020,16910.20291
aglink,baseline,ame,food,nrm,1000 t,2030,21294.46701
aglink,baseline,ame,food,nrm,1000 t,2040,25575.59687
aglink,baseline,ame,food,osd,1000 t,2000,3461.008544
aglink,baseline,ame,food,osd,1000 t,2010,4134.567773
aglink,baseline,ame,food,osd,1000 t,2020,4629.100612
aglink,baseline,ame,food,osd,1000 t,2030,5663.069816
aglink,baseline,ame,food,osd,1000 t,2040,7028.715207
aglink,baseline,ame,food,ric,1000 t,2000,20173.0397
aglink,baseline,ame,food,ric,1000 t,2010,30179.38371
aglink,baseline,ame,food,ric,1000 t,2020,44098.41589
aglink,baseline,ame,food,ric,1000 t,2030,59674.5126
aglink,baseline,ame,food,ric,1000 t,2040,75005.27073
aglink,baseline,ame,food,rum,1000 t,2000,5907.284001
aglink,baseline,ame,food,rum,1000 t,2010,8055.175806
